Year,Utility Number,Utility Name,Part,Service Type,Data Type,State,Ownership,BA Code,Total Revenues,Total Sales,Total Customers
2024,55.0,City of Aberdeen - (MS),A,Bundled,O,MS,Municipal,TVA,14946.0,190890.0,3330.0
2024,84.0,A & N Electric Coop,A,Bundled,O,MD,Cooperative,PJM,381.6,2793.0,295.0
2024,84.0,A & N Electric Coop,A,Bundled,O,VA,Cooperative,PJM,84042.9,705648.0,37341.0
2024,108.0,Adams-Columbia Electric Coop,A,Bundled,O,WI,Cooperative,MISO,80809.0,598848.0,39455.0
2024,113.0,"Agway Energy Services, LLC",B,Energy,O,MD,Retail Power Marketer,PJM,2.5,22.0,2.0
2024,113.0,"Agway Energy Services, LLC",B,Energy,O,NY,Retail Power Marketer,NYIS,16196.6,123002.0,15654.0
2024,113.0,"Agway Energy Services, LLC",B,Energy,O,PA,Retail Power Marketer,PJM,1067.9,9367.0,991.0
2024,155.0,Agralite Electric Coop,A,Bundled,O,MN,Cooperative,MISO,25348.0,242880.0,5397.0
2024,162.0,Aiken Electric Coop Inc,A,Bundled,O,SC,Cooperative,SC,134123.4,993900.0,52839.0
2024,176.0,Ajo Improvement Co,A,Bundled,O,AZ,Investor Owned,AZPS,1057.2,8711.0,1031.0
2024,195.0,Alabama Power Co,A,Bundled,O,AL,Investor Owned,SOCO,6638906.0,51899518.0,1546483.0
2024,207.0,Alameda Municipal Power,A,Bundled,O,CA,Municipal,CISO,75541.7,355947.0,37226.0
2024,213.0,Alaska Electric Light & Power Co.,A,Bundled,O,AK,Investor Owned,,50026.8,426785.0,18005.0
2024,219.0,Alaska Power and Telephone Co,A,Bundled,O,AK,Investor Owned,,26275.0,78687.0,8456.0
2024,221.0,"Alaska Village Elec Coop, Inc",A,Bundled,O,AK,Cooperative,,77021.0,125451.0,11518.0
2024,230.0,Albany Utility Board,A,Bundled,O,GA,Municipal,SOCO,80382.8,834357.0,33921.0
2024,232.0,City of Albemarle - (NC),A,Bundled,O,NC,Municipal,DUK,29397.4,293540.0,13585.0
2024,240.0,Albemarle Electric Member Corp,A,Bundled,O,NC,Cooperative,PJM,32069.0,229055.0,13870.0
2024,241.0,Albertville Municipal Utilities Board,A,Bundled,O,AL,Municipal,TVA,56126.0,652533.0,10726.0
2024,261.0,AGC Division of APGI Inc,A,Bundled,O,IN,Investor Owned,MISO,159579.9,2639245.0,2.0
2024,276.0,Alcorn County Elec Power Assn,A,Bundled,O,MS,Cooperative,TVA,64492.0,631592.0,19181.0
2024,295.0,City of Alexandria - (MN),A,Bundled,O,MN,Municipal,MISO,27965.1,278404.0,10692.0
2024,296.0,"Alfalfa Electric Coop, Inc",A,Bundled,O,KS,Cooperative,SWPP,2238.0,20797.0,930.0
2024,296.0,"Alfalfa Electric Coop, Inc",A,Bundled,O,OK,Cooperative,SWPP,34222.0,389083.0,7536.0
2024,298.0,City of Alexandria - (LA),A,Bundled,O,LA,Municipal,MISO,69855.2,646818.0,23460.0
2024,305.0,Alger-Delta Coop Electric Assn,A,Bundled,O,MI,Cooperative,MISO,17845.3,94873.0,10313.0
2024,307.0,Algoma Utility Comm,A,Bundled,O,WI,Municipal,MISO,3794.7,33654.0,2050.0
2024,392.0,Alpena Power Co,A,Bundled,O,MI,Investor Owned,MISO,36725.6,285706.0,16807.0
2024,407.0,Altamaha Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,69134.9,577379.0,21870.0
2024,416.0,City of Altus - (OK),A,Bundled,O,OK,Municipal,SWPP,23460.0,209386.0,9443.0
2024,471.0,Amana Society Service Co,A,Bundled,O,IA,Investor Owned,MISO,7788.0,66971.0,889.0
2024,540.0,BP Energy Company,B,Energy,O,WA,Retail Power Marketer,PSEI,60883.1,887803.0,2.0
2024,540.0,BP Energy Company,D,Bundled,O,TX,Retail Power Marketer,ERCO,62297.0,989891.0,1.0
2024,554.0,City of Ames - (IA),A,Bundled,O,IA,Municipal,MISO,61011.8,650763.0,28108.0
2024,562.0,Amicalola Electric Member Corp,A,Bundled,O,GA,Cooperative,SOCO,111092.4,879625.0,56407.0
2024,571.0,City of Amory,A,Bundled,O,MS,Municipal,TVA,13426.0,120575.0,3959.0
